郵遞區號,國小數量,國中數量,高中數量,高職數量,專科學校數量,大專院校數量,大專進修學校數量,特殊學校數量,其他
439,4,1,0,0,0,0,0,0,0
424,8,2,0,0,0,0,0,0,0
421,6,2,1,0,0,0,0,1,0
411,14,5,3,1,0,1,2,0,0
437,10,3,2,1,0,0,0,0,0
436,11,3,2,0,0,0,0,0,0
435,6,2,1,0,0,0,0,0,0
413,11,2,1,1,0,2,0,0,0
429,5,2,0,0,0,0,0,0,0
400,1,0,0,0,0,0,0,0,0
404,9,5,4,0,0,3,3,0,0
407,17,8,3,0,0,3,0,1,0
438,5,1,0,0,0,0,0,0,0
428,8,3,1,0,0,0,0,1,0
433,7,4,0,1,0,2,0,0,0
402,4,4,2,1,0,2,0,0,0
426,8,1,1,0,0,0,0,0,0
412,12,9,6,0,0,1,2,0,0
406,18,8,3,0,0,1,1,0,0
414,8,4,1,0,0,0,0,0,0
401,6,2,0,2,0,0,0,0,0
422,2,1,0,0,0,0,0,0,0
420,10,4,1,1,0,0,0,0,0
408,10,6,2,0,0,1,2,1,0
423,10,3,1,1,0,0,0,0,0
434,7,3,1,0,0,0,0,0,0
403,6,4,2,0,0,1,0,0,0
427,7,4,2,0,0,0,0,0,0
432,7,1,0,0,0,0,0,0,0
